file,material,gender,corpus
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-1-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-2-fe_03_00001_A.wav,test,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-3-fe_03_00001_B.wav,test,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-4-fe_03_00001_A.wav,test,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-5-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-6-fe_03_00001_B.wav,test,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-7-fe_03_00001_A.wav,test,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-8-fe_03_00001_A.wav,dev,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-9-fe_03_00001_B.wav,test,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-10-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-11-fe_03_00001_B.wav,train,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-12-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-13-fe_03_00001_B.wav,train,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-14-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-15-fe_03_00001_B.wav,train,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-16-fe_03_00001_B.wav,dev,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-17-fe_03_00001_B.wav,dev,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-18-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-19-fe_03_00001_B.wav,train,female,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-20-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-21-fe_03_00001_A.wav,train,male,fisher
/home2/magics/corpora/fisher-english/fisher_eng_tr_sp_d1_wavs/slices/fe_03_00001_slices/split-22-fe_03_00001_A.wav,train,male,fisher
